Symbol,Company_Name,Sector,Industry,Market_Cap,Exchange
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,140940328960,NYQ
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,30943336448,NYQ
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,250486456320,NYQ
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,50917400576,NYQ
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,10854563840,NYQ
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,77240950784,NYQ
POOL,Pool Corporation,Industrials,Industrial Distribution,12214680576,NMS
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,26317752320,NYQ
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,27034884096,NYQ
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,18170681344,NMS
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,371140689920,NYQ
PGR,The Progressive Corporation,Financial Services,Insurance - Property & Casualty,146614632448,NYQ
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,102340960256,NYQ
PRU,"Prudential Financial, Inc.",Financial Services,Insurance - Life,37245075456,NYQ
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,43702247424,NYQ
PTC,PTC Inc.,Technology,Software - Application,24530565120,NMS
PSA,Public Storage,Real Estate,REIT - Industrial,50482028544,NYQ
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,22955622400,NYQ
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,62492557312,NYQ
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,173923188736,NMS
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,18847766528,NYQ
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,18064687104,NYQ
RJF,"Raymond James Financial, Inc.",Financial Services,Asset Management,33706000384,NYQ
RTX,RTX Corporation,Industrials,Aerospace & Defense,209990172672,NYQ
O,Realty Income Corporation,Real Estate,REIT - Retail,52288331776,NYQ
REG,Regency Centers Corporation,Real Estate,REIT - Retail,12999105536,NMS
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,60795088896,NMS
RF,Regions Financial Corporation,Financial Services,Banks - Regional,23749730304,NYQ
RSG,"Republic Services, Inc.",Industrials,Waste Management,76611764224,NYQ
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,40345886720,NYQ
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,12219582464,NYQ
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,40410939392,NYQ
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,28152737792,NYQ
ROP,"Roper Technologies, Inc.",Technology,Software - Application,60534173696,NMS
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,45243731968,NMS
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,95806365696,NYQ
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,164060086272,NYQ
CRM,"Salesforce, Inc.",Technology,Software - Application,257269153792,NYQ
SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,25133533184,NMS
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,52909539328,NYQ
STX,Seagate Technology Holdings plc,Technology,Computer Hardware,32021422080,NMS
SRE,Sempra,Utilities,Utilities - Diversified,52708376576,NYQ
NOW,"ServiceNow, Inc.",Technology,Software - Application,201042329600,NYQ
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,84798152704,NYQ
